"year","use_year","cut","proc"
"2009","1","cut1",29
"2009","1","cut2",47
"2009","1","cut3",24
"2009","1","cut4",NA
"2009","2","cut1",37
"2009","2","cut2",46
"2009","2","cut3",17
"2009","2","cut4",NA
"2010","1","cut1",49
"2010","1","cut2",29
"2010","1","cut3",7
"2010","1","cut4",15
"2010","2","cut1",21
"2010","2","cut2",35
"2010","2","cut3",44
"2010","2","cut4",NA
"2011","1","cut1",29
"2011","1","cut2",41
"2011","1","cut3",30
"2011","1","cut4",NA
"2011","2","cut1",24
"2011","2","cut2",30
"2011","2","cut3",46
"2011","2","cut4",NA
"2012","1","cut1",41
"2012","1","cut2",36
"2012","1","cut3",23
"2012","1","cut4",NA
"2012","2","cut1",46
"2012","2","cut2",32
"2012","2","cut3",22
"2012","2","cut4",NA
"2013","1","cut1",29
"2013","1","cut2",45
"2013","1","cut3",26
"2013","1","cut4",NA
"2013","2","cut1",4
"2013","2","cut2",68
"2013","2","cut3",28
"2013","2","cut4",NA
"2014","1","cut1",24
"2014","1","cut2",49
"2014","1","cut3",27
"2014","1","cut4",NA
"2014","2","cut1",19
"2014","2","cut2",52
"2014","2","cut3",29
"2014","2","cut4",NA
"2015","2","cut1",54
"2015","2","cut2",37
"2015","2","cut3",9
"2015","2","cut4",NA
"2016","1","cut1",56
"2016","1","cut2",27
"2016","1","cut3",17
"2016","1","cut4",NA
"2017","1","cut1",45
"2017","1","cut2",42
"2017","1","cut3",5
"2017","1","cut4",8
"2017","2","cut1",36
"2017","2","cut2",35
"2017","2","cut3",19
"2017","2","cut4",10
"2018","1","cut1",55
"2018","1","cut2",39
"2018","1","cut3",6
"2018","1","cut4",NA
"2018","2","cut1",32
"2018","2","cut2",57
"2018","2","cut3",11
"2018","2","cut4",NA
"2019","1","cut1",46
"2019","1","cut2",34
"2019","1","cut3",14
"2019","1","cut4",6
"2019","2","cut1",28
"2019","2","cut2",36
"2019","2","cut3",26
"2019","2","cut4",10
"2020","1","cut1",64
"2020","1","cut2",24
"2020","1","cut3",12
"2020","1","cut4",NA
"2020","2","cut1",62
"2020","2","cut2",33
"2020","2","cut3",5
"2020","2","cut4",NA
"2021","1","cut1",60
"2021","1","cut2",22
"2021","1","cut3",18
"2021","1","cut4",NA
"2021","2","cut1",49
"2021","2","cut2",29
"2021","2","cut3",22
"2021","2","cut4",NA
"2022","1","cut1",72
"2022","1","cut2",23
"2022","1","cut3",4
"2022","1","cut4",1
"2022","2","cut1",39
"2022","2","cut2",56
"2022","2","cut3",5
"2022","2","cut4",NA
"2015","1","cut1",NA
"2015","1","cut2",NA
"2015","1","cut3",NA
"2015","1","cut4",NA
"2016","2","cut1",NA
"2016","2","cut2",NA
"2016","2","cut3",NA
"2016","2","cut4",NA
