"year","use_year","cut","dmy","proc"
"2009","1","cut1",2171.786,29
"2009","1","cut2",3397.308,47
"2009","1","cut3",1707.622,24
"2009","1","cut4",NA,NA
"2009","2","cut1",1298.462,37
"2009","2","cut2",1679.853,46
"2009","2","cut3",593.053,17
"2009","2","cut4",NA,NA
"2010","1","cut1",3678.074,49
"2010","1","cut2",2197.822,29
"2010","1","cut3",487.237,7
"2010","1","cut4",1137.056,15
"2010","2","cut1",851.801,21
"2010","2","cut2",1432.332,35
"2010","2","cut3",1767.266,44
"2010","2","cut4",NA,NA
"2011","1","cut1",2460.527,29
"2011","1","cut2",3479.861,41
"2011","1","cut3",2491.835,30
"2011","1","cut4",NA,NA
"2011","2","cut1",1087.42,24
"2011","2","cut2",1367.301,30
"2011","2","cut3",2114.889,46
"2011","2","cut4",NA,NA
"2012","1","cut1",3531.247,41
"2012","1","cut2",3086.471,36
"2012","1","cut3",1959.238,23
"2012","1","cut4",NA,NA
"2012","2","cut1",1560.528,46
"2012","2","cut2",1091.319,32
"2012","2","cut3",802.539,22
"2012","2","cut4",NA,NA
"2013","1","cut1",1628.816,29
"2013","1","cut2",2505.561,45
"2013","1","cut3",1451.649,26
"2013","1","cut4",NA,NA
"2013","2","cut1",49.079,4
"2013","2","cut2",949.672,68
"2013","2","cut3",524.605,28
"2013","2","cut4",NA,NA
"2014","1","cut1",2052.928,24
"2014","1","cut2",4285.189,49
"2014","1","cut3",2336.605,27
"2014","1","cut4",NA,NA
"2014","2","cut1",684.298,19
"2014","2","cut2",1928.799,52
"2014","2","cut3",1082.921,29
"2014","2","cut4",NA,NA
"2015","1","cut1",NA,NA
"2015","1","cut2",NA,NA
"2015","1","cut3",NA,NA
"2015","1","cut4",NA,NA
"2015","2","cut1",2979.751,54
"2015","2","cut2",2014.548,37
"2015","2","cut3",471.954,9
"2015","2","cut4",NA,NA
"2016","1","cut1",5718.739,56
"2016","1","cut2",2882.327,27
"2016","1","cut3",1729.302,17
"2016","1","cut4",NA,NA
"2016","2","cut1",NA,NA
"2016","2","cut2",NA,NA
"2016","2","cut3",NA,NA
"2016","2","cut4",NA,NA
"2017","1","cut1",4108.517,45
"2017","1","cut2",3887.117,42
"2017","1","cut3",477.873,5
"2017","1","cut4",777.628,8
"2017","2","cut1",1314.63,36
"2017","2","cut2",1349.088,35
"2017","2","cut3",696.118,19
"2017","2","cut4",364.345,10
"2018","1","cut1",4513.166,55
"2018","1","cut2",3248.828,39
"2018","1","cut3",524.983,6
"2018","1","cut4",NA,NA
"2018","2","cut1",691.002,32
"2018","2","cut2",1217.464,57
"2018","2","cut3",245.399,11
"2018","2","cut4",NA,NA
"2019","1","cut1",3711.685,46
"2019","1","cut2",2737.455,34
"2019","1","cut3",1128.727,14
"2019","1","cut4",559.03,6
"2019","2","cut1",944.205,28
"2019","2","cut2",1215.01,36
"2019","2","cut3",912.158,26
"2019","2","cut4",357.916,10
"2020","1","cut1",8499.771,64
"2020","1","cut2",3230.769,24
"2020","1","cut3",1610.256,12
"2020","1","cut4",NA,NA
"2020","2","cut1",3125.29,62
"2020","2","cut2",1509.818,33
"2020","2","cut3",215.758,5
"2020","2","cut4",NA,NA
"2021","1","cut1",6559.495,60
"2021","1","cut2",2473.153,22
"2021","1","cut3",1972.006,18
"2021","1","cut4",NA,NA
"2021","2","cut1",1447.398,49
"2021","2","cut2",870.222,29
"2021","2","cut3",720.581,22
"2021","2","cut4",NA,NA
"2022","1","cut1",10615.584,72
"2022","1","cut2",3451.47,23
"2022","1","cut3",586.308,4
"2022","1","cut4",127.33,1
"2022","2","cut1",2052.661,39
"2022","2","cut2",2927.027,56
"2022","2","cut3",261.441,5
"2022","2","cut4",NA,NA
