"","year","WR_score","SPRING_G","SUMMER_G","SPOT","RUST"
"1","2009",6.33333333333333,8.33333333333333,7.33333333333333,1.8,0
"2","2010",6.33333333333333,8.33333333333333,5,4.2,4.8
"3","2011",9,9,9,0,0
"4","2012",8.66666666666667,9,9,6.6,4.2
"5","2013",4,8,8.33333333333333,5.4,5.4
"6","2014",2.33333333333333,4.33333333333333,9,2.7,4.5
"7","2016",8.2,8.83333333333333,9,2.1,3.4
"8","2017",8,9,9,3,1.8
"9","2018",7.5,9,7.66666666666667,3.6,3.72
"10","2019",8.8,9,7.16666666666667,2.36666666666667,0.6
"11","2020",9,8.25,7.425,3.15,4.23
"12","2021",8.9,9,8.5,2.82,3.18
"13","2022",9,9,6.93333333333333,2.22,2.7
