"","year","period_cuts","start_date","end_date","duration","T_mean","tot_prec","GDD"
"1","2008","FH",2008-11-05,2009-01-03,59,1.4,89.5,258.9
"2","2009","cut1",2009-04-07,2009-06-01,55,11.3,39.5,362.8
"3","2009","cut2",2009-06-02,2009-07-22,50,16,236.2,575.6
"4","2009","cut3",2009-07-23,2009-09-15,54,16.6,97.9,654.15
"5","2009","FH",2009-10-14,2009-12-14,61,3.4,109.6,167
"6","2009","WP",2009-01-04,2009-04-06,92,-1.1,107.4,591.75
"7","2010","cut1",2010-03-30,2010-06-01,63,10.6,140.4,393.4
"8","2010","cut2",2010-06-02,2010-07-13,41,17.7,79.1,539.25
"9","2010","cut3",2010-07-14,2010-09-12,60,19,205.9,885
"10","2010","FH",2010-10-17,2010-11-26,40,5.1,104.3,80.25
"11","2010","WP",2009-12-15,2010-03-29,104,-5.4,119.7,1129.35
"12","2011","cut1",2011-04-07,2011-05-03,26,9,13.6,119.8
"13","2011","cut2",2011-05-04,2011-07-01,58,16.1,84.7,657.15
"14","2011","cut3",2011-07-02,2011-09-14,74,17.7,245.5,990.6
"15","2011","FH",2011-11-07,2012-01-25,79,1.6,124.1,287.15
"16","2011","WP",2010-11-27,2011-04-06,130,-4.2,137.3,1217.05
"17","2012","cut1",2012-04-15,2012-05-29,44,12.5,76.7,343.4
"18","2012","cut2",2012-05-30,2012-07-09,40,16,144.9,455.8
"19","2012","cut3",2012-07-10,2012-08-28,49,17.3,138.7,640.25
"20","2012","FH",2012-10-30,2012-12-07,38,3,92.8,105.7
"21","2012","WP",2012-01-26,2012-04-14,79,-3.1,60.9,670.3
"22","2013","cut1",2013-04-20,2013-05-27,37,13.6,45.9,334.1
"23","2013","cut2",2013-05-28,2013-07-08,41,18.6,55.3,570.65
"24","2013","cut3",2013-07-09,2013-09-16,69,17.4,171,890.45
"25","2013","FH",2013-11-13,2013-12-09,26,2.9,37.8,78.6
"26","2013","WP",2012-12-08,2013-04-19,132,-3.7,175,1226.4
"27","2014","cut1",2014-03-24,2014-05-27,64,10.5,117.4,397.75
"28","2014","cut2",2014-05-28,2014-07-08,41,14.8,104,423.15
"29","2014","cut3",2014-07-09,2014-09-08,61,18.3,142.1,845.05
"30","2014","WP",2013-12-10,2014-03-23,103,-0.2,99,577.95
"31","2015","FH",2015-10-11,2015-12-28,78,4.5,113.4,219.4
"32","2016","cut1",2016-04-06,2016-05-28,52,10.9,85.6,324.6
"33","2016","cut2",2016-05-29,2016-07-14,46,17.8,135,609.15
"34","2016","cut3",2016-07-15,2016-09-05,52,17.7,164.4,697.85
"35","2016","cut4",2016-09-06,2016-10-05,29,13.2,12.5,257.05
"36","2016","FH",2016-10-15,2016-11-28,44,2.5,105.5,124.7
"37","2016","WP",2015-12-29,2016-04-05,98,-1.4,152.7,663.2
"38","2017","cut1",2017-04-04,2017-06-05,62,9.3,54.1,332.2
"39","2017","cut2",2017-06-06,2017-07-21,45,15.9,130.3,511.95
"40","2017","cut3",2017-07-22,2017-08-25,34,18.1,123.2,475.05
"41","2017","cut4",2017-08-26,2017-10-09,44,12.5,175.6,350.5
"42","2017","FH",2017-11-13,2018-01-15,63,1.1,103.2,242.25
"43","2017","WP",2016-11-29,2017-04-03,125,0.2,139.2,672.4
"44","2018","cut1",2018-04-08,2018-05-31,53,14.5,55.9,512.75
"45","2018","cut2",2018-06-01,2018-07-17,46,17.7,115.6,605.05
"46","2018","cut3",2018-07-18,2018-09-25,69,19.1,51.8,1004.85
"47","2018","FH",2018-11-20,2018-11-30,10,-2.5,1.3,82.35
"48","2018","WP",2018-01-16,2018-04-07,81,-2.8,108.9,646.45
"49","2019","cut1",2019-04-07,2019-05-03,26,9.6,4.3,155.6
"50","2019","cut2",2019-05-04,2019-07-18,75,16.7,109,897.65
"51","2019","cut3",2019-07-19,2019-08-28,40,18.7,100.8,564.2
"52","2019","cut4",2019-08-29,2019-10-03,35,13.2,94.3,308.15
"53","2019","FH",2019-11-02,2019-12-31,59,3.6,74.8,184.85
"54","2019","WP",2018-12-01,2019-04-06,126,0,186.6,673.9
"55","2020","cut1",2020-04-09,2020-06-04,56,9.4,53.9,267.35
"56","2020","cut2",2020-06-05,2020-07-13,38,18.7,212.7,545.75
"57","2020","cut3",2020-07-14,2020-08-25,42,18.8,45.3,595.75
"58","2020","FH",2020-11-13,2021-01-13,61,1.2,69.4,260.85
"59","2020","WP",2020-01-01,2020-04-08,98,3.1,137.5,236.3
"60","2021","cut1",2021-04-14,2021-06-03,50,10.4,111.2,304.85
"61","2021","cut2",2021-06-04,2021-07-15,41,21.4,40.5,693.3
"62","2021","cut3",2021-07-16,2021-09-23,69,16.1,181.6,815.7
"63","2021","FH",2021-11-17,2021-12-05,18,1.6,53.2,79.05
"64","2021","WP",2021-01-14,2021-04-13,89,-1.5,60.4,654.75
"65","2022","cut1",2022-03-25,2022-06-07,74,8.5,157.6,356.4
"66","2022","cut2",2022-06-08,2022-07-25,47,18.2,197,642.95
"67","2022","cut3",2022-07-26,2022-08-29,34,20.4,68,549.5
"68","2022","cut4",2022-08-30,2022-10-07,38,10.8,34.4,253.05
"69","2022","WP",2021-12-06,2022-03-24,108,-0.4,102.5,583
